koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,koi_kepmag
CONFIRMED,1,0,0,0,0,14.49645186,143.41659,0.97,4.016,647.5,3.01,613,33.48,25.7,2,q1_q17_dr25_tce,5015,4.499,0.826,15.376
CONFIRMED,1,0,0,0,0,6.54626149,133.85964,0.644,2.75,655.9,2.19,810,101.78,24.8,3,q1_q17_dr25_tce,5251,4.581,0.817,15.855
CONFIRMED,1,0,0,0,0,12.71809866,175.35526,0.427,3.0957,1149.4,2.31,562,23.6,52.7,1,q1_q17_dr25_tce,4702,4.592,0.686,15.389
CONFIRMED,0.999,0,0,0,0,36.06588163,198.58423,0.26,4.3246,1563.8,2.64,397,5.88,51.7,2,q1_q17_dr25_tce,4702,4.592,0.686,15.389
CONFIRMED,1,0,0,0,0,4.190425659,171.44122,0.458,2.8589,2877.4,6.21,1234,547.9,240.6,1,q1_q17_dr25_tce,6073,4.392,1.135,15.27
CONFIRMED,1,0,0,0,0,3.709870784,171.987982,0.023,3.0694,2020.3,4.35,1151,415.1,116.1,1,q1_q17_dr25_tce,5727,4.463,0.978,15.581
CONFIRMED,1,0,0,0,0,16.3297527,177.29506,0.791,6.271,1187.5,3.75,727,66.08,74.6,1,q1_q17_dr25_tce,5878,4.444,0.987,15.447
CONFIRMED,0.985,0,0,0,0,27.80756622,186.713552,0.782,4.21587,25391,13.84,554,22.24,748.1,1,q1_q17_dr25_tce,5862,4.584,0.785,15.482
CONFIRMED,0.942,0,0,0,0,80.8723469,203.895,0.527,11.195,3604.6,7.59,452,9.88,160.9,1,q1_q17_dr25_tce,5510,4.222,1.238,15.201
FALSE POSITIVE,0,0,1,1,0,3.166465862,172.002627,1.266,2.9381,4357.2,26.82,954,196.31,122.1,1,q1_q17_dr25_tce,4968,4.575,0.704,15.999
CONFIRMED,0.912,0,0,0,0,24.99324319,138.68167,0.686,5.9409,269.6,2.29,712,60.88,62,1,q1_q17_dr25_tce,5718,4.181,1.317,12.377
CONFIRMED,1,0,0,0,0,10.35533116,170.93729,0.029,3.1775,750.6,2.47,777,86.22,49.2,1,q1_q17_dr25_tce,5501,4.462,0.918,15.018
CONFIRMED,1,0,0,0,0,16.08518937,180.28319,0.867,3.984,1442.4,3.68,613,33.43,62.6,1,q1_q17_dr25_tce,5239,4.523,0.826,15.219
CONFIRMED,1,0,0,0,0,7.49018305,174.95037,0.02,2.7297,1123.6,2.56,753,76.06,53,1,q1_q17_dr25_tce,5103,4.562,0.787,15.599
CONFIRMED,1,0,0,0,0,36.2761238,201.2869,0.035,4.7865,1572.6,3.03,445,9.29,45.5,2,q1_q17_dr25_tce,5103,4.562,0.787,15.599
CONFIRMED,1,0,0,0,0,17.46087931,137.26594,0.594,2.2641,812.4,2.32,568,24.6,22.6,4,q1_q17_dr25_tce,5103,4.562,0.787,15.599
CONFIRMED,0.996,0,0,0,0,56.0560754,201.16578,0.018,4.685,1626,1.94,233,0.69,27.4,1,q1_q17_dr25_tce,3593,4.757,0.491,15.849
CONFIRMED,0.974,0,0,0,0,41.40831669,195.78745,0.377,5.0264,22839,11.38,453,9.93,907.8,1,q1_q17_dr25_tce,5522,4.586,0.747,15.196
CONFIRMED,1,0,0,0,0,5.715425977,174.87931,0.348,2.5242,908.1,2.47,850,123.03,59.4,1,q1_q17_dr25_tce,5237,4.572,0.826,15.086
CONFIRMED,0.959,0,0,0,0,49.18394185,141.911924,0.035,11.3364,1646.2,8.2,669,47.4,355.7,1,q1_q17_dr25_tce,5626,3.907,2.057,12.654
CONFIRMED,0.994,0,0,0,0,20.0261412,146.91109,0.957,1.611,421.2,2.28,559,23.14,10.7,2,q1_q17_dr25_tce,5237,4.572,0.826,15.086
FALSE POSITIVE,0,0,1,1,1,10.44331991,175.4046,0.23,2.743,1159.8,2.66,667,46.94,51.7,1,q1_q17_dr25_tce,4947,4.516,0.802,15.546
CONFIRMED,1,0,0,0,0,2.237489571,170.81914,0.128,1.8119,315.8,1.41,1160,427.17,30.7,1,q1_q17_dr25_tce,5265,4.58,0.81,15.001
FALSE POSITIVE,0,0,1,0,0,5.851520671,173.8228336,0.211,3.11058,33004,14.62,901,155.89,1630.4,1,q1_q17_dr25_tce,5532,4.53,0.806,15.33
CONFIRMED,1,0,0,0,0,3.167893418,172.147959,0.026,2.1814,781.2,2.62,1221,526.23,64.8,1,q1_q17_dr25_tce,5895,4.503,0.94,15.533
CONFIRMED,1,0,0,0,0,4.311780262,173.576483,0.196,2.7251,1154,3.11,1038,274.84,86.1,1,q1_q17_dr25_tce,5527,4.484,0.927,15.604
CONFIRMED,1,0,0,0,0,20.0504494,188.08821,0.383,4.556,840.9,2.69,622,35.44,37.8,2,q1_q17_dr25_tce,5527,4.484,0.927,15.604
